Direito;E;M;1257,8;1589,653;1589,653;1589,653;211,245;27,028;93,58
Administração;S;M;4639,5;8556,146;30,676;1445,023;2671,504;87,705;1157,437
Engenharia Civil;S;M;234,42;234,42;78,14;78,14;0;0;0
NULL;NULL;NULL;720;3228,23;1071,968;1080,232;1942,295;25,214;540,72
NULL;NULL;NULL;1909,68;2480,013;3,5;2348,809;0;0;570,333
Engenharia Civil;S;M;8120,65;20500,142;34,96;2856,61;9184,672;203,722;2939,698
Administração;S;M;2778;5670,758;1403,866;1431,362;1972,112;72,522;848,124
Direito;S;F;425,08;425,08;75,5;91,36;0;0;0
Direito;S;F;182,72;182,72;91,36;91,36;0;0;0
Direito;C;M;561;2100,525;696,978;703,304;1163,686;18,369;357,469
Engenharia Civil;S;M;7449;1904,236;312,287;322,503;670,102;24,199;282,995
Administração;S;M;60,36;60,36;15,09;15,09;0;0;0
Ciências Contábeis;S;F;174,66;174,66;58,22;58,22;0;0;0
NULL;NULL;NULL;13875,55;55104,953;13,111;51717,076;30777,189;410,586;10041,628
NULL;NULL;NULL;310;1672,542;1672,542;1672,542;1067,398;11,866;283,278
NULL;NULL;NULL;737,66;1512,007;21,831;940,037;452,948;0;321,399
Administração;S;M;2427,9;8328,216;1650,7;1678,75;4426,309;76,508;1397,499
Direito;S;F;453;453;75,5;75,5;0;0;0
NULL;NULL;NULL;400;1932,566;964,412;968,154;1193,637;14,489;324,44
Direito;S;F;16430,09;25345,229;1188;3616,674;5885,9;361,316;2901,613
NULL;NULL;NULL;260;1152,043;1152,043;1152,043;687,677;9,105;195,26
NULL;NULL;NULL;2988,45;12856,768;10,289;1672,611;7597,36;102,716;2168,242
Direito;S;M;372,14;372,14;31,57;91,36;0;0;0
Administração;S;M;288,72;288,72;48,12;48,12;0;0;0
Engenharia Civil;NULL;M;199,36;199,36;43,06;52,1;0;0;0
Administração;S;M;231,84;231,84;24,06;29,16;0;0;0
Direito;NULL;M;5445;11149,634;2201,311;2257,69;3900,128;142,147;1662,359
Administração;S;M;802,15;602,258;602,258;602,258;19,61;11,425;19,103
NULL;NULL;NULL;6843,79;36609,09;10,289;4838,595;23438,753;211,451;6115,095
Direito;S;F;7991,77;11516,76;1001,12;1836,226;2350,547;160,1;1014,343
Engenharia Civil;S;F;6520,1;11064,92;104,2;2181,695;2840,29;155,138;1549,392
